donor_id	primary_group	ed_subgroup	leiden_r0_5	n_cells
DMED1	organic_ED	diabetic_ED	0	9
DMED1	organic_ED	diabetic_ED	1	251
DMED1	organic_ED	diabetic_ED	2	37
DMED1	organic_ED	diabetic_ED	3	1114
DMED1	organic_ED	diabetic_ED	4	162
DMED1	organic_ED	diabetic_ED	5	23
DMED1	organic_ED	diabetic_ED	6	177
DMED1	organic_ED	diabetic_ED	7	182
DMED1	organic_ED	diabetic_ED	8	698
DMED1	organic_ED	diabetic_ED	9	67
DMED1	organic_ED	diabetic_ED	10	203
DMED1	organic_ED	diabetic_ED	11	66
DMED1	organic_ED	diabetic_ED	12	77
DMED1	organic_ED	diabetic_ED	13	594
DMED1	organic_ED	diabetic_ED	14	19
DMED1	organic_ED	diabetic_ED	15	17
DMED1	organic_ED	diabetic_ED	16	3
DMED1	organic_ED	diabetic_ED	17	15
DMED1	organic_ED	diabetic_ED	18	67
DMED1	organic_ED	diabetic_ED	20	2552
DMED1	organic_ED	diabetic_ED	21	2719
DMED1	organic_ED	diabetic_ED	22	6
DMED2	organic_ED	diabetic_ED	0	3
DMED2	organic_ED	diabetic_ED	1	428
DMED2	organic_ED	diabetic_ED	2	71
DMED2	organic_ED	diabetic_ED	3	10
DMED2	organic_ED	diabetic_ED	4	339
DMED2	organic_ED	diabetic_ED	5	95
DMED2	organic_ED	diabetic_ED	6	255
DMED2	organic_ED	diabetic_ED	7	100
DMED2	organic_ED	diabetic_ED	8	1225
DMED2	organic_ED	diabetic_ED	9	367
DMED2	organic_ED	diabetic_ED	10	60
DMED2	organic_ED	diabetic_ED	11	110
DMED2	organic_ED	diabetic_ED	12	49
DMED2	organic_ED	diabetic_ED	13	2284
DMED2	organic_ED	diabetic_ED	14	12
DMED2	organic_ED	diabetic_ED	15	3
DMED2	organic_ED	diabetic_ED	16	13
DMED2	organic_ED	diabetic_ED	17	9
DMED2	organic_ED	diabetic_ED	18	2150
DMED2	organic_ED	diabetic_ED	19	2820
DMED2	organic_ED	diabetic_ED	20	2
DMED2	organic_ED	diabetic_ED	21	11
DMED2	organic_ED	diabetic_ED	22	9
ED1	organic_ED	non_diabetic_ED	0	5
ED1	organic_ED	non_diabetic_ED	1	61
ED1	organic_ED	non_diabetic_ED	2	38
ED1	organic_ED	non_diabetic_ED	3	52
ED1	organic_ED	non_diabetic_ED	4	105
ED1	organic_ED	non_diabetic_ED	5	70
ED1	organic_ED	non_diabetic_ED	6	76
ED1	organic_ED	non_diabetic_ED	7	68
ED1	organic_ED	non_diabetic_ED	8	135
ED1	organic_ED	non_diabetic_ED	9	90
ED1	organic_ED	non_diabetic_ED	10	366
ED1	organic_ED	non_diabetic_ED	11	35
ED1	organic_ED	non_diabetic_ED	12	6
ED1	organic_ED	non_diabetic_ED	13	37
ED1	organic_ED	non_diabetic_ED	14	14
ED1	organic_ED	non_diabetic_ED	15	5
ED1	organic_ED	non_diabetic_ED	16	11
ED1	organic_ED	non_diabetic_ED	17	1775
ED1	organic_ED	non_diabetic_ED	18	80
ED1	organic_ED	non_diabetic_ED	19	15
ED1	organic_ED	non_diabetic_ED	20	22
ED1	organic_ED	non_diabetic_ED	21	7
ED1	organic_ED	non_diabetic_ED	22	2833
ED2	organic_ED	non_diabetic_ED	1	34
ED2	organic_ED	non_diabetic_ED	2	1
ED2	organic_ED	non_diabetic_ED	3	29
ED2	organic_ED	non_diabetic_ED	4	141
ED2	organic_ED	non_diabetic_ED	5	47
ED2	organic_ED	non_diabetic_ED	6	16
ED2	organic_ED	non_diabetic_ED	7	38
ED2	organic_ED	non_diabetic_ED	8	53
ED2	organic_ED	non_diabetic_ED	9	1511
ED2	organic_ED	non_diabetic_ED	10	53
ED2	organic_ED	non_diabetic_ED	11	32
ED2	organic_ED	non_diabetic_ED	12	2
ED2	organic_ED	non_diabetic_ED	13	44
ED2	organic_ED	non_diabetic_ED	14	4
ED2	organic_ED	non_diabetic_ED	15	5
ED2	organic_ED	non_diabetic_ED	16	23
ED2	organic_ED	non_diabetic_ED	17	1
ED2	organic_ED	non_diabetic_ED	18	817
ED2	organic_ED	non_diabetic_ED	19	1
ED2	organic_ED	non_diabetic_ED	22	1
ED3	organic_ED	non_diabetic_ED	0	7
ED3	organic_ED	non_diabetic_ED	1	280
ED3	organic_ED	non_diabetic_ED	2	30
ED3	organic_ED	non_diabetic_ED	3	543
ED3	organic_ED	non_diabetic_ED	4	325
ED3	organic_ED	non_diabetic_ED	5	102
ED3	organic_ED	non_diabetic_ED	6	279
ED3	organic_ED	non_diabetic_ED	7	224
ED3	organic_ED	non_diabetic_ED	8	1696
ED3	organic_ED	non_diabetic_ED	9	4390
ED3	organic_ED	non_diabetic_ED	10	414
ED3	organic_ED	non_diabetic_ED	11	274
ED3	organic_ED	non_diabetic_ED	12	296
ED3	organic_ED	non_diabetic_ED	13	100
ED3	organic_ED	non_diabetic_ED	14	131
ED3	organic_ED	non_diabetic_ED	15	7
ED3	organic_ED	non_diabetic_ED	16	61
ED3	organic_ED	non_diabetic_ED	17	1
ED3	organic_ED	non_diabetic_ED	18	1962
ED3	organic_ED	non_diabetic_ED	19	3
ED3	organic_ED	non_diabetic_ED	20	19
ED3	organic_ED	non_diabetic_ED	21	35
N1	normal	normal	0	4806
N1	normal	normal	1	326
N1	normal	normal	2	2044
N1	normal	normal	3	68
N1	normal	normal	4	134
N1	normal	normal	5	236
N1	normal	normal	6	203
N1	normal	normal	7	226
N1	normal	normal	8	46
N1	normal	normal	9	40
N1	normal	normal	10	21
N1	normal	normal	11	53
N1	normal	normal	12	7
N1	normal	normal	13	56
N1	normal	normal	14	73
N1	normal	normal	15	10
N1	normal	normal	16	1
N1	normal	normal	17	1
N1	normal	normal	18	3
N1	normal	normal	19	1
N1	normal	normal	20	1
N1	normal	normal	21	1
N2	normal	normal	0	21
N2	normal	normal	1	152
N2	normal	normal	2	67
N2	normal	normal	3	126
N2	normal	normal	4	197
N2	normal	normal	5	656
N2	normal	normal	6	106
N2	normal	normal	7	65
N2	normal	normal	8	93
N2	normal	normal	9	33
N2	normal	normal	10	174
N2	normal	normal	11	83
N2	normal	normal	12	6
N2	normal	normal	13	20
N2	normal	normal	14	1313
N2	normal	normal	15	2417
N2	normal	normal	16	18
N2	normal	normal	17	1
N2	normal	normal	18	10
N2	normal	normal	19	2
N2	normal	normal	20	1
N2	normal	normal	21	9
N2	normal	normal	22	1
N3	normal	normal	0	32
N3	normal	normal	1	375
N3	normal	normal	2	166
N3	normal	normal	3	10
N3	normal	normal	4	538
N3	normal	normal	5	6897
N3	normal	normal	6	244
N3	normal	normal	7	297
N3	normal	normal	8	112
N3	normal	normal	9	12
N3	normal	normal	10	54
N3	normal	normal	11	122
N3	normal	normal	12	30
N3	normal	normal	13	283
N3	normal	normal	14	2445
N3	normal	normal	15	22
N3	normal	normal	16	3
N3	normal	normal	18	1
N3	normal	normal	21	1
