donor_id	mural_subtype	n_cells
DMED1	CC_SMC_like	594
DMED1	Pericyte_like	177
DMED1	Vessel_SMC_like	775
DMED2	CC_SMC_like	2284
DMED2	Pericyte_like	255
DMED2	Vessel_SMC_like	1274
ED1	CC_SMC_like	37
ED1	Pericyte_like	76
ED1	Vessel_SMC_like	141
ED2	CC_SMC_like	44
ED2	Pericyte_like	16
ED2	Vessel_SMC_like	55
ED3	CC_SMC_like	100
ED3	Pericyte_like	279
ED3	Vessel_SMC_like	1992
N1	CC_SMC_like	56
N1	Pericyte_like	203
N1	Vessel_SMC_like	53
N2	CC_SMC_like	20
N2	Pericyte_like	106
N2	Vessel_SMC_like	99
N3	CC_SMC_like	283
N3	Pericyte_like	244
N3	Vessel_SMC_like	142
