mural_subtype	comparison	gene_symbol	full_logFC	full_PValue	full_FDR	n_lodo_runnable	n_lodo_gene_tested	n_lodo_same_direction	fraction_lodo_same_direction	n_lodo_nominal_0_05	n_lodo_FDR_0_10	n_lodo_FDR_0_05	min_lodo_logFC	max_lodo_logFC	leave_out_donors	stable_direction_all_lodo	gene_tested_all_lodo	stable_tested_direction_all_lodo	stable_direction_min_80pct	retained_nominal_signal_any_lodo
Pericyte_like	diabetic_ED_vs_normal	ADAMTS4	4.19494894732916	7.84192223470932e-07	0.00358204745362855	3	3	3	1	3	3	2	4.14817828014521	4.23000487663387	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	NR4A3	3.95583264539962	1.10374762149339e-06	0.00358204745362855	3	3	3	1	3	3	3	3.76415365029095	4.4685235821809	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	IL6	4.6866998230421	1.28174407930411e-06	0.00358204745362855	3	3	3	1	3	3	2	4.20251135107439	5.70200617993171	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	PI15	3.6853314227566	2.59876050372768e-06	0.00544700201581321	3	3	3	1	3	3	2	3.50735241550283	3.80836414985165	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	PLA2G2A	3.66087810935056	4.77376501811981e-06	0.00800464918238329	3	3	3	1	3	3	3	3.17299966753804	4.02368506959921	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	SH3BP5	2.78686638617908	9.57884683203718e-06	0.0133848419732999	3	3	3	1	3	2	1	2.61626529098545	3.19555249886417	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	MT1A	2.80556449196479	1.9186049184508e-05	0.0215447647591949	3	3	3	1	3	2	1	2.48698629315243	3.44984295585126	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	NR4A2	3.19462318338481	2.05579816404532e-05	0.0215447647591949	3	3	3	1	3	1	0	3.0601753515066	3.43429087713412	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	ERAP2	-3.63303730128362	2.37988923881802e-05	0.0220113606267881	3	3	3	1	3	2	1	-3.79163237524909	-3.36872728788304	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	NR4A1	2.97628852226847	2.6254008381188e-05	0.0220113606267881	3	3	3	1	3	1	1	2.74145224622408	3.6015840748784	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	CYR61	2.41411122597973	4.6160050257688e-05	0.0351823510327688	3	3	3	1	3	1	1	2.13378592712435	2.86553855327545	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	RGS16	2.4128744373486	6.98595367453169e-05	0.0488085296727281	3	3	3	1	3	0	0	2.28331828999723	2.56045802667742	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	THBS1	3.47266620667116	8.09138849945869e-05	0.052183231676509	3	3	3	1	3	1	0	3.10189248967763	4.23918773107356	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	F8	2.16074216582073	0.000111807240701856	0.0669565647174546	3	3	3	1	3	1	0	1.89144927433155	2.44047015161959	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	CPM	2.07163510745477	0.000134542832775362	0.0722530514944149	3	3	3	1	3	1	1	1.79875075461458	2.4609514132686	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	NAMPT	2.10143293240981	0.000137887502851937	0.0722530514944149	3	3	3	1	3	1	1	1.87846761638895	2.53530092300501	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	RGCC	2.19306085928602	0.000155296428503691	0.0765885445044086	3	3	3	1	3	1	0	1.98558143112437	2.39734384312906	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	SMOC1	2.30299074269098	0.000193689657188222	0.0872958460081914	3	3	3	1	3	1	0	1.90366288752095	2.63775917109334	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	FABP4	-1.89938206956764	0.000206618186881063	0.0872958460081914	3	3	3	1	3	1	0	-2.07268021543454	-1.66105617015166	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	GEM	1.85389121016339	0.000208243907462289	0.0872958460081914	3	3	3	1	3	0	0	1.680147214766	2.0025407266938	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	diabetic_ED_vs_normal	EGR3	3.46856320268838	0.000244307905697935	0.0975370229224519	3	3	3	1	3	0	0	3.19030828707472	3.90823968370717	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	non_diabetic_ED_vs_normal	PLA2G2A	3.79232456546876	1.5405907371929e-05	0.0784641043480855	3	3	3	1	3	0	0	3.31111539839948	4.17651124123736	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	non_diabetic_ED_vs_normal	PI15	3.77104385044876	2.56650017337597e-05	0.0784641043480855	3	3	3	1	3	0	0	3.59556455620474	3.89115150202806	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	non_diabetic_ED_vs_normal	HBA1	6.39428034699743	2.75344850911518e-05	0.0784641043480855	3	3	3	1	3	1	1	5.91282632722864	7.87977388406392	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	organic_ED_vs_normal	PI15	3.72717797869144	2.52825923832946e-06	0.0117031037234026	7	7	7	1	7	4	4	3.49348229112872	3.91795010931896	DMED1,DMED2,ED1,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Pericyte_like	organic_ED_vs_normal	PLA2G2A	3.73189800187037	2.85615710150155e-06	0.0117031037234026	7	7	7	1	7	5	5	3.24883965864479	4.09884279397356	DMED1,DMED2,ED1,ED3,N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Vessel_SMC_like	diabetic_ED_vs_normal	CRISPLD2	2.79615510653428	5.82530665660793e-06	0.0486704371159592	3	3	3	1	3	0	0	2.6292050942445	2.99193330749281	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
Vessel_SMC_like	diabetic_ED_vs_normal	NR4A3	6.11248167725149	1.69975946239376e-05	0.0710074515414994	3	3	3	1	3	0	0	5.90733978320673	6.47625067188324	N1,N2,N3	TRUE	TRUE	TRUE	TRUE	TRUE
