comparison_level	leiden_r0_5	author_cluster	n_overlap_top100	jaccard_top100	overlap_genes_top30_display	mural_subtype
author_11_subclusters	6	PC	62	0.4492753623188406	ACTA2,AGT,ANGPT2,APOE,BTG1,C12orf57,C2orf40,CALD1,CAMK2N1,CD44,CLSTN2,COX4I2,CPE,EDNRA,EFHD1,EPS8,FAM153B,FHL1,FXYD1,GUCY1A3,GUCY1B3,HES4,HGF,IGFBP5,IGFBP7,ISYNA1,LGI4,LHFP,LMOD1,LPP	Pericyte_like
author_11_subclusters	6	Vessel SMC	30	0.1764705882352941	ACTA2,C2orf40,CALD1,CPE,EFHD1,FHL1,GUCY1A3,HES4,IGFBP7,LGI4,LMOD1,LPP,MFGE8,MYH11,MYL9,NDUFA4L2,NOTCH3,NR2F2,NTRK3,PAWR,PDE5A,PPP1R14A,RCAN2,RGS5,RRAD,SLC7A2,SYNPO2,TAGLN,TINAGL1,TPM2	Pericyte_like
author_11_subclusters	6	CC SMC	27	0.1560693641618497	ACTA2,C1QTNF1,C2orf40,CALD1,CPE,EDNRA,FHL1,FXYD1,GUCY1A3,IGFBP5,IGFBP7,LGI4,LMOD1,LPP,MAP1B,MRGPRF,MYH11,MYL9,NOTCH3,PDE5A,PPP1R14A,RCAN2,RGS5,RRAD,SYNPO2,TAGLN,TPM2	Pericyte_like
author_11_subclusters	8	Vessel SMC	81	0.680672268907563	A2M,AC013461.1,ACAN,ACTA2,ACTB,ACTG2,ACTN4,ADIRF,ADRA2A,BCAM,C11orf96,CALD1,CALM2,CARMN,CASQ2,CAV2,CHCHD10,CNN1,CPE,CPM,CRIP1,CRYAB,CSRP1,CSRP2,DSTN,EFHD1,FHL1,FILIP1,FLNA,FRZB	Vessel_SMC_like
author_11_subclusters	8	CC SMC	58	0.4084507042253521	A2M,AC013461.1,ACTA2,ACTB,ACTG2,AOC3,C11orf96,CALD1,CARMN,CHCHD10,CNN1,CPE,CRYAB,CSRP1,CSRP2,DSTN,FHL1,FLNA,FRZB,FXYD1,IGFBP7,ITGA8,KCNAB1,KCNMB1,LMOD1,LPP,MCAM,MRVI1,MYH11,MYL6	Vessel_SMC_like
author_11_subclusters	8	PC	36	0.2195121951219512	ACTA2,ACTG2,C11orf96,CALD1,CARMN,CHCHD10,CNN1,CPE,CSRP2,EFHD1,FHL1,FLNA,FXYD1,HES4,IGFBP7,LMOD1,LPP,MRVI1,MYH11,MYL9,MYLK,NOTCH3,NR2F2,PDE5A,PPP1R14A,RCAN2,RGS5,RRAD,SLC7A2,SYNPO2	Vessel_SMC_like
author_11_subclusters	12	Vessel SMC	84	0.7241379310344828	A2M,AC013461.1,ACAN,ACTA2,ACTB,ACTG2,ACTN4,ADIRF,ADRA2A,BCAM,C2orf40,CALD1,CALM2,CARMN,CASQ2,CAV2,CLMN,CNN1,CPE,CPM,CRYAB,CSRP1,CSRP2,DACT3,DSTN,EFHD1,FHL1,FILIP1,FILIP1L,FLNA	Vessel_SMC_like
author_11_subclusters	12	CC SMC	58	0.4084507042253521	A2M,AC013461.1,ACTA2,ACTB,ACTG2,AOC3,ATP1A2,C1QTNF1,C2orf40,CALD1,CARMN,CNN1,CPE,CRYAB,CSRP1,CSRP2,DSTN,FHL1,FILIP1L,FLNA,FRZB,IGFBP7,ITGA8,KCNAB1,KCNMB1,LGI4,LMOD1,LPP,MCAM,MRVI1	Vessel_SMC_like
author_11_subclusters	12	PC	39	0.2422360248447205	ACTA2,ACTG2,ATP1A2,C2orf40,CALD1,CARMN,CLMN,CNN1,CPE,CSRP2,EFHD1,FHL1,FILIP1L,FLNA,HES4,IGFBP7,ITGA7,LGI4,LMOD1,LPP,MRVI1,MYH11,MYL9,MYLK,NOTCH3,NTRK3,PDE5A,PPP1R14A,RCAN2,RGS5	Vessel_SMC_like
author_11_subclusters	13	CC SMC	71	0.5503875968992248	AC013461.1,ACTA2,ACTB,ACTG2,AOC3,C1QTNF1,C2orf40,CALD1,CHCHD10,CKB,CNN1,CRYAB,CSRP1,DES,DSTN,FHL1,FLNA,FRZB,GUCY1A3,ID4,IGFBP7,ITGA8,ITM2C,KCNMA1,KCNMB1,LMOD1,LPP,MAP1B,MCAM,MRVI1	CC_SMC_like
author_11_subclusters	13	Vessel SMC	50	0.3333333333333333	AC013461.1,ACTA2,ACTB,ACTG2,C2orf40,CALD1,CHCHD10,CKB,CNN1,CRYAB,CSRP1,DSTN,FHL1,FILIP1,FLNA,FRZB,GUCY1A3,ID4,IGFBP7,ITGA8,KCNMB1,LMOD1,LPP,MCAM,MRVI1,MYH11,MYL6,MYL9,MYLK,NEXN	CC_SMC_like
author_11_subclusters	13	PC	30	0.1764705882352941	ACTA2,ACTG2,C2orf40,CALD1,CHCHD10,CKB,CNN1,DES,FHL1,FLNA,GUCY1A3,IGFBP7,ITM2C,LMOD1,LPP,MAP1B,MRVI1,MYH11,MYL9,MYLK,PDE5A,PPP1R14A,RARRES2,RCAN2,SYNPO2,TAGLN,TGFB1I1,TNS1,TPM1,TPM2	CC_SMC_like
