mural_subtype	gene_symbol	mean_log1p_normalized_expression	pct_cells_detected	n_cells
Pericyte_like	PDGFRB	1.363623857498169	75.22123893805309	1356
Pericyte_like	RGS5	1.9106353521347046	74.04129793510324	1356
Pericyte_like	CSPG4	0.013555863872170448	0.9587020648967551	1356
Pericyte_like	MCAM	0.6802433133125305	45.13274336283185	1356
Pericyte_like	NOTCH3	1.4686442613601685	79.57227138643069	1356
Pericyte_like	ABCC9	0.5623992681503296	36.799410029498524	1356
Pericyte_like	ACTA2	2.9290030002593994	93.58407079646017	1356
Pericyte_like	MYH11	1.8555843830108643	81.71091445427729	1356
Pericyte_like	TAGLN	3.3236303329467773	96.46017699115043	1356
Pericyte_like	CNN1	0.7380346059799194	45.57522123893805	1356
Pericyte_like	DES	0.7652735710144043	41.224188790560476	1356
Pericyte_like	MYLK	1.1185171604156494	63.200589970501476	1356
Pericyte_like	PDGFRA	0.027851544320583344	2.286135693215339	1356
Pericyte_like	DCN	1.5133737325668335	71.09144542772862	1356
Pericyte_like	COL1A1	0.8869683146476746	55.75221238938053	1356
Pericyte_like	PECAM1	0.022163087502121925	1.696165191740413	1356
Pericyte_like	VWF	0.07624630630016327	5.825958702064897	1356
Pericyte_like	PTPRC	0.009674533270299435	0.7374631268436578	1356
Vessel_SMC_like	PDGFRB	0.7880502939224243	62.85588170381814	4531
Vessel_SMC_like	RGS5	3.5241167545318604	98.52129772677112	4531
Vessel_SMC_like	CSPG4	0.3638167977333069	34.93709997792981	4531
Vessel_SMC_like	MCAM	2.143460512161255	95.10041933348047	4531
Vessel_SMC_like	NOTCH3	1.2929229736328125	83.57978371220482	4531
Vessel_SMC_like	ABCC9	0.03300584852695465	3.7960715073935116	4531
Vessel_SMC_like	ACTA2	4.278877258300781	99.95585963363496	4531
Vessel_SMC_like	MYH11	3.76027250289917	99.73515780180976	4531
Vessel_SMC_like	TAGLN	4.958573341369629	100.0	4531
Vessel_SMC_like	CNN1	2.260226011276245	94.15140145663209	4531
Vessel_SMC_like	DES	0.5693177580833435	42.992716839549765	4531
Vessel_SMC_like	MYLK	2.198077917098999	96.35841977488413	4531
Vessel_SMC_like	PDGFRA	0.08255299925804138	7.790774663429706	4531
Vessel_SMC_like	DCN	0.560976505279541	34.01015228426396	4531
Vessel_SMC_like	COL1A1	0.20695823431015015	18.980357536967556	4531
Vessel_SMC_like	PECAM1	0.06534735858440399	5.892738909732951	4531
Vessel_SMC_like	VWF	0.14737668633460999	9.843301699404105	4531
Vessel_SMC_like	PTPRC	0.00495194410905242	0.5738247627455307	4531
CC_SMC_like	PDGFRB	0.6656612157821655	59.04037448800467	3418
CC_SMC_like	RGS5	0.6322023868560791	43.0368636629608	3418
CC_SMC_like	CSPG4	0.24252057075500488	29.052077238150964	3418
CC_SMC_like	MCAM	1.5407981872558594	87.39028671737859	3418
CC_SMC_like	NOTCH3	0.6429662108421326	56.02691632533645	3418
CC_SMC_like	ABCC9	0.1980140060186386	22.088940901111762	3418
CC_SMC_like	ACTA2	4.2985663414001465	99.59040374488005	3418
CC_SMC_like	MYH11	3.9518399238586426	99.59040374488005	3418
CC_SMC_like	TAGLN	4.649151802062988	99.67817437097717	3418
CC_SMC_like	CNN1	3.007033348083496	97.71796372147455	3418
CC_SMC_like	DES	3.9948389530181885	99.23932124049152	3418
CC_SMC_like	MYLK	3.1274964809417725	98.50789935634874	3418
CC_SMC_like	PDGFRA	0.04725849628448486	4.97366881217086	3418
CC_SMC_like	DCN	0.933821976184845	60.03510825043885	3418
CC_SMC_like	COL1A1	0.47998377680778503	42.510239906378	3418
CC_SMC_like	PECAM1	0.04674068093299866	4.915155061439439	3418
CC_SMC_like	VWF	0.12184276431798935	9.566998244587479	3418
CC_SMC_like	PTPRC	0.005000005476176739	0.5851375073142189	3418
