dataset,analysis,metric,group,n_donors,value,sd
GSE206528,ligand_donor_mean,TNF,diabetic,2,0.5048,0.7066
GSE206528,ligand_donor_mean,TNF,nondiab_ED,3,0.1379,0.1878
GSE206528,ligand_donor_mean,TNF,normal,3,0.101,0.0945
GSE206528,ligand_donor_mean,IL1B,diabetic,2,1.2607,1.6337
GSE206528,ligand_donor_mean,IL1B,nondiab_ED,3,0.3745,0.2612
GSE206528,ligand_donor_mean,IL1B,normal,3,0.2427,0.2208
GSE206528,ligand_donor_mean,OSM,diabetic,2,0.2549,0.2738
GSE206528,ligand_donor_mean,OSM,nondiab_ED,3,0.0663,0.0409
GSE206528,ligand_donor_mean,OSM,normal,3,0.024,0.0134
GSE206528,ligand_diab_vs_ref_logfc,TNF,diab_vs_ref,8,0.3853,
GSE206528,ligand_diab_vs_ref_logfc,IL1B,diab_vs_ref,8,0.952,
GSE206528,ligand_diab_vs_ref_logfc,OSM,diab_vs_ref,8,0.2097,
GSE206528,donor_core_vs_TF_pearson,STAT3_targets,pericyte,8,0.9089,0.0018
GSE206528,donor_core_vs_TF_spearman,STAT3_targets,pericyte,8,0.7381,0.0366
GSE206528,donor_core_vs_TF_pearson,NFKB_targets,pericyte,8,0.9312,0.0008
GSE206528,donor_core_vs_TF_spearman,NFKB_targets,pericyte,8,0.9524,0.0003
GSE206528,donor_core_vs_TF_pearson,GATA1_neg_targets,pericyte,8,0.0847,0.8419
GSE206528,donor_core_vs_TF_spearman,GATA1_neg_targets,pericyte,8,0.1667,0.6932
GSE206528,cell_core_vs_TF_pearson_DESCRIPTIVE,STAT3_targets,pericyte,1356,0.494,
GSE206528,cell_core_vs_TF_pearson_DESCRIPTIVE,NFKB_targets,pericyte,1356,0.4217,
GSE206528,cell_core_vs_TF_pearson_DESCRIPTIVE,GATA1_neg_targets,pericyte,1356,-0.0645,
GSE259348,ligand_donor_mean,TNF,diabetic,1,0.4307,0.3339
GSE259348,ligand_donor_mean,IL1B,diabetic,1,0.813,0.3322
GSE259348,ligand_donor_mean,OSM,diabetic,1,0.1946,0.1686
GSE259348,cell_core_vs_TF_pearson_DESCRIPTIVE,STAT3_targets,pericyte,1015,0.3578,
GSE259348,cell_core_vs_TF_pearson_DESCRIPTIVE,NFKB_targets,pericyte,1015,0.2759,
GSE259348,cell_core_vs_TF_pearson_DESCRIPTIVE,GATA1_neg_targets,pericyte,1015,0.0324,
GSE206528,donor_core_vs_TF_LODO_range,STAT3_targets,pericyte,8,0.8654,0.9289
GSE206528,donor_core_vs_TF_exact_perm_p,STAT3_targets,pericyte,8,0.0029,
GSE206528,donor_core_vs_TF_LODO_range,NFKB_targets,pericyte,8,0.87,0.9809
GSE206528,donor_core_vs_TF_exact_perm_p,NFKB_targets,pericyte,8,0.0001,
GSE206528,donor_core_vs_TF_LODO_range,GATA1_neg_targets,pericyte,8,-0.3809,0.4324
GSE206528,donor_core_vs_TF_exact_perm_p,GATA1_neg_targets,pericyte,8,0.8546,
