,treatment,time,core_score
GSM7142390,untreated,day14,-0.227
GSM7142391,untreated,day14,-0.127
GSM7142392,untreated,day14,-0.457
GSM7142393,untreated,day28,-0.023
GSM7142394,untreated,day28,-0.282
GSM7142395,untreated,day28,-0.243
GSM7142396,mannitol,day14,-0.194
GSM7142397,mannitol,day14,-0.458
GSM7142398,mannitol,day14,-0.438
GSM7142399,mannitol,day28,0.41
GSM7142400,mannitol,day28,-0.306
GSM7142401,mannitol,day28,-0.185
GSM7142402,diabetic,day14,0.394
GSM7142403,diabetic,day14,0.743
GSM7142404,diabetic,day14,0.841
GSM7142405,diabetic,day28,-0.135
GSM7142406,diabetic,day28,0.417
GSM7142407,diabetic,day28,0.269
