putative_diabetic_pair,remaining_reference_triplet,mean_putative_diabetic_score,mean_remaining_reference_score,score_difference,is_observed_diabetic_assignment,rank_descending
"DMED1,DMED2","N1,N2,N3",1.143760175533064,-0.7625067836887093,1.9062669592217731,True,1
"DMED2,N2","DMED1,N1,N3",0.3921452334130554,-0.26143015560870353,0.6535753890217589,False,2
"DMED1,N2","DMED2,N1,N3",0.2670732419194075,-0.1780488279462716,0.44512206986567915,False,3
"DMED2,N1","DMED1,N2,N3",0.206908797204354,-0.13793919813623598,0.34484799534058996,False,4
"DMED2,N3","DMED1,N1,N2",0.16043404438959458,-0.10695602959306301,0.2673900739826576,False,5
"DMED1,N1","DMED2,N2,N3",0.08183680571070612,-0.05455787047380404,0.13639467618451015,False,6
"DMED1,N3","DMED2,N1,N2",0.03536205289594668,-0.023574701930631086,0.05893675482657777,False,7
"N1,N2","DMED1,DMED2,N3",-0.6697781364093026,0.4465187576062018,-1.1162968940155045,False,8
"N2,N3","DMED1,DMED2,N1",-0.716252889224062,0.4775019261493747,-1.1937548153734368,False,9
"N1,N3","DMED1,DMED2,N2",-0.9014893254327634,0.6009928836218423,-1.5024822090546057,False,10
