donor_id	major_cell_type	n_cells	total_annotated_cells	proportion_of_total	ed_subgroup
DMED1	Endothelial	4319	9058	0.4768160741885626	diabetic_ED
DMED1	Fibroblast	2777	9058	0.30657981894457936	diabetic_ED
DMED1	Macrophage	251	9058	0.027710311327003755	diabetic_ED
DMED1	Mural	952	9058	0.10510046367851623	diabetic_ED
DMED1	Schwann_neural	3	9058	0.00033119894016339147	diabetic_ED
DMED1	Smooth_muscle	594	9058	0.0655773901523515	diabetic_ED
DMED1	T_cell	162	9058	0.01788474276882314	diabetic_ED
DMED2	Endothelial	2355	10425	0.22589928057553957	diabetic_ED
DMED2	Fibroblast	3477	10425	0.33352517985611513	diabetic_ED
DMED2	Macrophage	428	10425	0.04105515587529976	diabetic_ED
DMED2	Mural	1529	10425	0.14666666666666667	diabetic_ED
DMED2	Schwann_neural	13	10425	0.0012470023980815348	diabetic_ED
DMED2	Smooth_muscle	2284	10425	0.21908872901678658	diabetic_ED
DMED2	T_cell	339	10425	0.03251798561151079	diabetic_ED
ED1	Endothelial	3425	5906	0.5799187267185912	non_diabetic_ED
ED1	Fibroblast	2050	5906	0.3471046393498137	non_diabetic_ED
ED1	Macrophage	61	5906	0.010328479512360312	non_diabetic_ED
ED1	Mural	217	5906	0.0367422959701998	non_diabetic_ED
ED1	Schwann_neural	11	5906	0.0018625126989502202	non_diabetic_ED
ED1	Smooth_muscle	37	5906	0.006264815441923467	non_diabetic_ED
ED1	T_cell	105	5906	0.01777853030816119	non_diabetic_ED
ED2	Endothelial	942	2853	0.3301787592008412	non_diabetic_ED
ED2	Fibroblast	1598	2853	0.560112162635822	non_diabetic_ED
ED2	Macrophage	34	2853	0.011917280056081317	non_diabetic_ED
ED2	Mural	71	2853	0.02488608482299334	non_diabetic_ED
ED2	Schwann_neural	23	2853	0.008061689449702068	non_diabetic_ED
ED2	Smooth_muscle	44	2853	0.015422362425517	non_diabetic_ED
ED2	T_cell	141	2853	0.04942166140904311	non_diabetic_ED
ED3	Endothelial	3316	11179	0.296627605331425	non_diabetic_ED
ED3	Fibroblast	4826	11179	0.43170229895339474	non_diabetic_ED
ED3	Macrophage	280	11179	0.025046963055729492	non_diabetic_ED
ED3	Mural	2271	11179	0.20314876106986313	non_diabetic_ED
ED3	Schwann_neural	61	11179	0.005456659808569639	non_diabetic_ED
ED3	Smooth_muscle	100	11179	0.00894534394847482	non_diabetic_ED
ED3	T_cell	325	11179	0.02907236783254316	non_diabetic_ED
N1	Endothelial	5198	8357	0.621993538351083	normal
N1	Fibroblast	2386	8357	0.28550915400263255	normal
N1	Macrophage	326	8357	0.03900921383271509	normal
N1	Mural	256	8357	0.03063300227354314	normal
N1	Schwann_neural	1	8357	0.00011966016513102789	normal
N1	Smooth_muscle	56	8357	0.006700969247337561	normal
N1	T_cell	134	8357	0.016034462127557735	normal
N2	Endothelial	1719	5571	0.308562197092084	normal
N2	Fibroblast	3260	5571	0.5851732184527015	normal
N2	Macrophage	152	5571	0.027284150062825346	normal
N2	Mural	205	5571	0.03679770238736313	normal
N2	Schwann_neural	18	5571	0.0032310177705977385	normal
N2	Smooth_muscle	20	5571	0.003590019745108598	normal
N2	T_cell	197	5571	0.03536169448931969	normal
N3	Endothelial	2840	11644	0.24390243902439024	normal
N3	Fibroblast	7219	11644	0.6199759532806596	normal
N3	Macrophage	375	11644	0.0322054276880797	normal
N3	Mural	386	11644	0.0331501202335967	normal
N3	Schwann_neural	3	11644	0.00025764342150463756	normal
N3	Smooth_muscle	283	11644	0.024304362761937478	normal
N3	T_cell	538	11644	0.04620405358983167	normal
